Road No.,LRPName,length,condition,roadName,Traffic,Criticality_scores
N704,LRP072a,1786.0,0,Jhenaidah-Kushtia-Paksey Ferry-Dasuria Road,10324.0,0.9936927365666713
N1,LRP037a,1408.8,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.7825992005905718
N1,LRP037a,1408.8,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.7825992005905718
N2,LRP072c,1194.5,0,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.6642293223854221
R820,LRP001a,1018.0,0,Zinzira-Keraniganj-Nawabganj-Dohar-Srinagar Road,5000.0,0.5682476793939277
R820,LRP001a,1016.1,0,Zinzira-Keraniganj-Nawabganj-Dohar-Srinagar Road,5000.0,0.5671870992457466
N1,LRP241a,954.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.53023206769144
N2,LRP072c,924.0,0,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.5138115478310005
N1,LRP024a,924.85,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.5137612653791811
R870,LRP020c,917.7,0,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.5126161913317803
R870,LRP020c,910.6,1,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.5086502166576431
N1,LRP241a,914.0,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.5077340071974606
N1,LRP024a,900.0,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.49995689986620856
N8,LRP002c,847.9,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.47252112212192887
N8,LRP002c,847.9,1,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.47252112212192887
N5,LRP056c,646.0,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.3597325734238721
N5,LRP056c,645.66,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.35954324049049113
N506,LRP021b,642.6,2,Rangpur-Barobari-Kurigram Road,7064.0,0.3582456772673626
R770,LRP019b,630.86,0,Noapara-Bagerhat-Pirojpur Road,5427.0,0.35205395607093737
R770,LRP019b,630.86,0,Noapara-Bagerhat-Pirojpur Road,5427.0,0.35205395607093737
N7,LRP064b,621.0,0,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,9325.0,0.3457235156098454
