Road No.,Road Name,Traffic,Length,Criticality_scores
N5,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913,526033.0,0.9945547618189405
N1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871,462254.0,0.8718448359878717
N2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218,286516.0,0.5409401705043548
N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,9325,249665.0,0.47191463828269475
N6,Kashinathpur-Dasuria-Natore-Rajshahi-Nawabganj-Kansat-Sona Masjid-Baliadighi Border Road,6899,232244.0,0.4396399715363141
N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678,205127.0,0.3881216638391884
N4,Joydebpur-Tangail-Jamalpur Road,19183,146305.0,0.274869403444967
R140,Comilla-Lalmai-Chandpur-Lakhmipur-Begumganj Road,8032,138630.0,0.2622454135473983
R370,Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road,8726,131000.0,0.24770620817127856
R545,Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road,7097,120930.0,0.22889376421291183
R745,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242,116818.0,0.22122665640651767
R360,Mymensingh (Raghurampur)-Kishoreganj (Battali)-Bhairab (Bazar) Road,4103,116385.0,0.22069577955546144
N3,Dhaka (Banani)-Joydebpur-Mymensingh Road,18755,111583.0,0.2096911759897515
N805,Bhanga-Bhatiapara-Mollahhat-Fakirhat-Noapara Road,4917,110633.0,0.20968392406926303
R890,Bhola (Paran Talukderhat)-Burhanuddin-Lalmohon-Char Fassion-Char Manika Road,4094,108785.0,0.2062853694045261
R585,Gobindagnj-Goraghat-Birampur-Fulbari-Dinajpur Road,6201,106730.0,0.2021273667482058
N509,Barabari-Lalmonirhat-Burimary Road,5514,104690.0,0.19834750464045384
R547,Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road,3758,100985.0,0.19153389664967138
R160,Hathazari-Fatikchhari-Manikchhari-Matiranga-Khagrachhari Road,3435,93294.0,0.1769817058974201
R250,Sylhet-Golapganj-Charkhai-Jakiganj Road,5183,89700.0,0.16998167115397597
R281,Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road,4375,82871.0,0.15711846986935754
N102,Comilla (Mainamati)-Brahmanbaria (Sarail) Road,9414,82682.0,0.15627625977446769
N704,Jhenaidah-Kushtia-Paksey Ferry-Dasuria Road,10324,81538.0,0.15402782402277662
R203,Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road,3091,76197.0,0.144578591555794
R860,Mostafapur-Madaripur-Shariatpur (Monohar Bazar)-Ibrahimpur-Harina-Chandpur (Bhatialpur) Road,3352,74634.0,0.14159028268306226
R170,Patiya-Anowara-Banshkhali-Toitong-Pekua-Badarkhali-Chokoria (Eidmoni) Road,5931,74635.0,0.14136863022857682
R710,Ahaladipur-Rajbari-Pangsha-Kumarkhali-Kushtia (Chourhash) Road,5414,73110.0,0.13852397538267122
R820,Zinzira-Keraniganj-Nawabganj-Dohar-Srinagar Road,5000,72052.0,0.1365539910738429
N207,Mirpur-Srimongal-Moulavibazar-Sherpur Road,5329,67985.0,0.12882017693324144
N809,Barishal-Laherhat-Veduria-Bhola-Illisha-Maju Chowdhuryhat-Lakshmipur Road,1754,67815.0,0.12877962246273136
N106,Chittagong-Hathazari-Rangamati Road,6706,66850.0,0.12656263295916084
R280,Sylhet-Sunamganj Road,6991,66442.0,0.12576820171046232
R685,Rajshahi (Bindur More)-Nawhata-Chowmasia Road,10335,66420.0,0.12546860216662598
R748,Chuadanga-Darsana-Jibannagar-Kotchchandpur-Kaliganj Road,4340,65882.0,0.12491101787878878
R371,Mymensingh (Raghurampur)-Phulpur-Nakla-Sherpur Road,5266,65170.0,0.12349099223521194
R870,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866,64251.99999999999,0.12185593971494481
N502,Bogra (Jahangirabad)-Natore Road,6620,63290.0,0.11982904451499969
R162,Rangamati (Manikchhari)-Mohalchhari-Khagrachhari Road,1100,61505.0,0.11684374759848026
R161,Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road,2089,61178.0,0.11615226108980986
R760,Khulna-Chuknagar-Satkhira Road,10088,58500.0,0.11052435801233347
N208,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665,57495.0,0.10878740061758219
R560,Paglapir-Dalia-Tista Barrage Road,9413,57130.0,0.10798079638745424
R880,Patuakhali-Amtali-Barguna-Kacchira Road,4697,55728.0,0.10563612133454059
N806,Bhatiapara-Kalna-Lohagara-Narail-Jessore Road,5232,55169.0,0.10454222068910062
R506,Aricha (Barangail)-Ghior-Daulatpur-Tangail Road,2383,53733.0,0.10199887220460918
R548,Naogaon-Atrai-Natore Road,4031,53321.0,0.10111473635331769
R601,Pabna-Sujanagar-Natakhola Ferry Ghat (Baderhat) Road,5006,52435.0,0.09937520395170499
R315,Mawna-Fulbaria-Kaliakoir-Dhamrai-Nabinagar (Dulivita) Road,3603,51985.0,0.09860706688638049
R220,Sarail-Nasirnagar-Lakhai-Habiganj Road,5017,51772.0,0.09811801999056795
N507,Hatikamrul-Banpara Road,5254,51260.0,0.09713357095675935
R240,Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road,4505,50670.0,0.09605964555075197
N506,Rangpur-Barobari-Kurigram Road,7064,50017.0,0.0946730440901042
N104,Feni-Noakhali Road,9140,49630.0,0.09382086306648758
N105,Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4),11138,48881.0,0.09229152200575845
R151,Baraiyerhat-Karerhat-Heako-Narayanhat-Fatikchhari (Haidchokia) Road,2328,47702.0,0.0905535504982379
R720,Magura-Narail Road,3095,47010.0,0.08919803861663383
N401,Madhupur-Mymensingh Road,4795,46980.0,0.08904835982956472
R114,Nayapur-Araihazar-Narsingdi-Raipura Road,4896,46436.0,0.08801178666882073
R211,Itakhola-Motkhola-Kotiadi Road,3592,45114.0,0.08557447680886336
R241,Auskandi-Raniganj-Jagannathpur-Pagla Road,1750,45015.0,0.08548298881791438
R850,Tekerhat-Gopalganj (Haridashpur Bridge)-Mollahhat (Gonapara) Road,5046,44830.0,0.08496006849064792
N702,Jessore (Daratana More)-Magura (Vaina More) Road,6731,43750.0,0.08282767799582544
R314,Mawna-Bormi-Gafargaon Road,1992,43410.0,0.0824229107982798
R747,Kustia(Bottoli)-Poradah-AlamDanga-Chuadanga Road,4364,43468.0,0.0824132889442674
R312,Rajendrapur Chourasta-Kapasia-Toke-Motkhola Road,4511,43028.0,0.08157172362573378
R765,Navaran-Illishpur- Satkhira road,5055,42943.0,0.08138345078331814
R770,Noapara-Bagerhat-Pirojpur Road,5427,42780.0,0.08105605861371366
R605,Sujangar-Lalan Shah Bridge Approach Road,3968,42650.0,0.08088201458230442
R313,Mawna-Sripur-Gusinga-Kapasia-Aral-Sammania-Hitirdia-Monohardi (Hetemdi) Road,1471,42352.0,0.08043970445700438
R812,Fatullah (Panchaboti)-Munshiganj (Muktarpur)-Lohajang-Mawa Road,8194,42285.0,0.07998228670348798
R881,Amtali-Khepupara-Kuakata Road,2638,40646.0,0.07714438699016088
R604,Tebunia-Chatmohor-Handial-Hamkuria Road,3968,40580.0,0.07695643966588307
N405,Elenga-Nalka-Hatikamrul Road (Nalka-Hatikamrul RHD Part),16456,40780.0,0.07674426946107497
R755,Jessore (Rajarhat)-Monirampur-Keshabpur-Chuknagar Road,4765,38265.0,0.0725308242596397
R141,Lalmai-Laksham-Sonaimuri Road,5948,38225.0,0.07240248627570117
N706,Jessore (Daratana More)-Benapole Road,8271,38200.0,0.07225207286559053
R142,Begamganj-Sonaimuri-Ramganj Road,4783,37720.0,0.07149699510151769
R310,Joydebpur-Gazipur-Azmatpur-Itakhola Road,8922,37339.0,0.07059533327224754
R550,Mokamtala-Kalai-Joypurhat Road,6162,36840.0,0.06976998300001945
R152,Heako-Ramgarh-Jaliapara Road,0,36211.0,0.06883788659646828
R556,Mithapukur-Shahebganj-Maddahpara-Fulbaria Road,4274,35131.0,0.06661040011491176
N204,Jagadishpur-Chunarughat-Shaistaganj (old part),2628,34421.0,0.06533000032937714
R504,Hemayetpur - Singair - Manikgonj,4297,33907.0,0.06428871986594223
