Road No.,Road Name,Traffic,Length,Criticality_scores
N5,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913,526033.0,0.9945547618189405
N1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871,462254.0,0.8718448359878717
N2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218,286516.0,0.5409401705043548
N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,9325,249665.0,0.47191463828269475
N6,Kashinathpur-Dasuria-Natore-Rajshahi-Nawabganj-Kansat-Sona Masjid-Baliadighi Border Road,6899,232244.0,0.4396399715363141
N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678,205127.0,0.3881216638391884
N4,Joydebpur-Tangail-Jamalpur Road,19183,146305.0,0.274869403444967
R140,Comilla-Lalmai-Chandpur-Lakhmipur-Begumganj Road,8032,138630.0,0.2622454135473983
R370,Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road,8726,131000.0,0.24770620817127856
R545,Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road,7097,120930.0,0.22889376421291183
